h/l,fc,rhov,rhoh,fyv,fyh,AL,BE,T2B,L2R,R2L,B2T,LC,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,DS
1.5,558,0.73,0.73,4140,4140,0.064,1,0.038685,0.036997,0.041102,0.039414,1.42791,2.8207,2.7978,2.7697,2.7347,2.6898,2.6301,2.547,2.4244,2.2373,2.0231,1.9067,1.8515,1.8164,1.789,1.7664,1.7472,1.7307,1.7163,1.7037,1.6924,1.6824,2
1.5,558,0.73,0.73,4140,4140,0.064,1,0.043027,0.039885,0.043916,0.040774,1.39401,2.7051,2.6831,2.6562,2.6228,2.5803,2.5249,2.4501,2.3457,2.1985,2.0283,1.9188,1.8638,1.829,1.8019,1.7795,1.7606,1.7444,1.7304,1.7182,1.7076,1.6983,3
2.28,400,0.536,0.251,5104,5104,0.058,1,0.083037,0.058758,0.061477,0.037198,1.95789,2.931,2.9059,2.8751,2.8368,2.7875,2.722,2.6312,2.4984,2.2951,2.0338,1.9167,1.8375,1.6954,1.5262,1.4134,1.3464,1.3038,1.2744,1.2529,1.2364,1.2234,3
2.28,413,0.302,0.251,5062,5062,0.057,1,0.055426,0.032735,0.038573,0.015882,4.19209,2.6483,2.6238,2.5939,2.5564,2.5084,2.4449,2.3575,2.2317,2.051,1.8692,1.7975,1.6943,1.4826,1.3001,1.2005,1.1443,1.1087,1.0843,1.0665,1.0529,1.0422,3
2.28,417,0.536,0.251,6093,5416,0.057,1,0.091519,0.053452,0.067454,0.029388,4.21211,2.6457,2.6213,2.5917,2.5547,2.5075,2.4452,2.3601,2.2402,2.0791,1.943,1.8808,1.7267,1.4972,1.3523,1.2832,1.2459,1.2229,1.2073,1.196,1.1875,1.1808,3
1.4,411,0.24,0.24,4874,4874,0.051,1,0.016077,0.014062,0.015353,0.013339,2.33721,2.5917,2.5704,2.5445,2.512,2.4703,2.415,2.339,2.2308,2.0766,1.901,1.7975,1.749,1.718,1.6919,1.6682,1.6466,1.6271,1.6099,1.5948,1.5816,1.5701,2
1.4,411,0.384,0.384,4782,4782,0.051,1,0.025898,0.023461,0.023268,0.02083,1.87909,2.8847,2.8608,2.8315,2.7948,2.7473,2.6839,2.5954,2.4646,2.2619,2.0011,1.8708,1.8224,1.7876,1.7578,1.7322,1.7106,1.6925,1.6772,1.6642,1.653,1.6433,2
1.4,411,0.384,0.384,4782,4782,0.051,1,0.022379,0.020967,0.020474,0.019062,1.89015,2.7079,2.6848,2.6564,2.6211,2.5759,2.5163,2.4346,2.318,2.1509,1.9663,1.8597,1.8075,1.7733,1.7451,1.7208,1.6994,1.6808,1.6646,1.6504,1.6379,1.6269,2
2.28,459,0.302,0.251,6091,6091,0.051,1,0.038084,0.025596,0.02475,0.012262,2.73033,2.5372,2.5144,2.4864,2.4516,2.4068,2.3474,2.2651,2.1446,1.9623,1.7693,1.7681,1.7379,1.6293,1.4794,1.3686,1.3001,1.2562,1.226,1.204,1.1873,1.1742,3
0.9,179.4,0.284,0.284,4945.64,4945.64,0.04,1,0.071939,0.035987,0.051694,0.015742,11.2064,2.8078,2.7846,2.7565,2.7218,2.6777,2.6202,2.5424,2.4322,2.273,2.0793,1.878,1.4897,1.2258,1.148,1.1175,1.1008,1.0899,1.0819,1.0758,1.071,1.067,2
